date,newVaccines,newCases
2020-12-21,57909,218157.143
2020-12-22,127432,216437.571
2020-12-23,150606,213997.143
2020-12-24,191001,207495.429
2020-12-25,215238,185449.714
2020-12-26,231396,190365.286
2020-12-27,211379,185777.857
2020-12-28,216147,182285.286
2020-12-29,235685,182588.714
2020-12-30,255223,183170.571
2020-12-31,278776,189084.714
2021-01-01,302329,197069.714
2021-01-02,325882,207657.286
2021-01-03,336949,215244
2021-01-04,348017,216622.286
2021-01-05,339372,221601.857
2021-01-06,358887,224709.714
2021-01-07,378253,230781.143
2021-01-08,419933,250743.571
2021-01-09,461263,245349.429
2021-01-10,546636,245996.143
2021-01-11,632009,250379.429
2021-01-12,641524,249223.143
2021-01-13,710238,245646
2021-01-14,747082,239581.571
2021-01-15,798707,232367.429
2021-01-16,811670,223650.571
2021-01-17,824632,218582.714
2021-01-18,837595,208355.429
2021-01-19,911493,201181.714
2021-01-20,892403,194446.714
2021-01-21,913912,188466.143
2021-01-22,975540,181027.429
2021-01-23,1057387,176596.429
2021-01-24,1122182,169916.143
2021-01-25,1126251,171141.571
2021-01-26,1119058,166974.714
2021-01-27,1161050,162694
2021-01-28,1235330,159195.429
2021-01-29,1253815,155740.714
2021-01-30,1291416,151697.857
2021-01-31,1324949,148981.857
2021-02-01,1355451,146582.429
2021-02-02,1319981,141977.143
2021-02-03,1317946,137458.857
2021-02-04,1287147,130982.286
2021-02-05,1276364,126392
2021-02-06,1351437,120915.571
2021-02-07,1441091,117721.286
2021-02-08,1456459,111317
2021-02-09,1489333,108500.857
2021-02-10,1555959,104719.143
2021-02-11,1598080,102115.286
2021-02-12,1655907,97150.571
2021-02-13,1657703,94740.857
2021-02-14,1667631,91221
2021-02-15,1662106,86056.857
2021-02-16,1716311,81357.429
2021-02-17,1644551,77781
2021-02-18,1621071,72618
2021-02-19,1596355,69758.857
2021-02-20,1521088,67529.571
2021-02-21,1458040,66391.143
2021-02-22,1446445,66681
2021-02-23,1401674,68042.571
2021-02-24,1454731,68699.143
2021-02-25,1505193,69833.286
2021-02-26,1552717,69452.429
2021-02-27,1645240,68435.143
2021-02-28,1735053,67604.857
2021-03-01,1817502,67989
2021-03-02,1942788,65815.571
2021-03-03,2010790,64743.286
2021-03-04,2042676,63386.571
2021-03-05,2079147,61882.857
2021-03-06,2158020,60997.429
2021-03-07,2159392,59529.857
2021-03-08,2169981,57544.429
2021-03-09,2151571,57637.857
2021-03-10,2168688,56315.714
2021-03-11,2233006,55516.571
2021-03-12,2302844,54773.857
2021-03-13,2541597,54062.429
2021-03-14,2386932,53670.429
2021-03-15,2427430,55332.571
2021-03-16,2435037,54813.286
2021-03-17,2473762,54987
2021-03-18,2503731,54710.429
2021-03-19,2455116,54725.571
2021-03-20,2248285,55074.429
2021-03-21,2488734,54438.286
2021-03-22,2489697,53713.571
2021-03-23,2497025,53663
2021-03-24,2490889,57637.857
2021-03-25,2510755,58627.429
2021-03-26,2624410,60869.143
2021-03-27,2677034,61915.714
2021-03-28,2711611,63248.429
2021-03-29,2757586,65796.429
2021-03-30,2769331,66888.714
2021-03-31,2828491,64042.857
2021-04-01,2903730,65697.143
2021-04-02,2988825,64627.143
2021-04-03,3072527,64679.571
2021-04-04,3084436,63518.857
2021-04-05,3053566,64697.429
2021-04-06,2998533,64596.714
2021-04-07,3029052,65739.429
2021-04-08,3035473,65858.429
2021-04-09,3033045,67696.571
2021-04-10,3111327,68192
2021-04-11,3141912,69821.714
2021-04-12,3214893,68757.571
2021-04-13,3384387,71233.857
2021-04-14,3330740,71282
2021-04-15,3348189,70483.571
2021-04-16,3349306,70096.857
2021-04-17,3200601,68073.714
2021-04-18,3194240,67450.571
