date,joblessClaims,changeJoblessClaims,weeklyCases,changeWeeklyCases
1/4/20,219750.00,0.00,0.00,
1/11/20,214250.00,-5500.00,0.00,0.00
1/18/20,214750.00,500.00,0.00,0.00
1/25/20,212750.00,-2000.00,0.00,0.00
2/1/20,210000.00,-2750.00,3.71,3.71
2/8/20,209250.00,-750.00,5.71,2.00
2/15/20,208000.00,-1250.00,2.14,-3.57
2/22/20,210000.00,2000.00,1.43,-0.71
2/29/20,214000.00,4000.00,3.00,1.57
3/7/20,215750.00,1750.00,138.43,135.43
3/14/20,232500.00,16750.00,1247.57,1109.14
3/21/20,1004250.00,771750.00,10495.00,9247.43
3/28/20,2666750.00,1662500.00,62846.86,52351.86
4/4/20,4267750.00,1601000.00,148422.14,85575.28
4/11/20,5506500.00,1238750.00,213731.71,65309.57
4/18/20,5790250.00,283750.00,209352.86,-4378.86
4/25/20,5040250.00,-750000.00,203781.14,-5571.71
5/2/20,4180500.00,-859750.00,200812.72,-2968.43
5/9/20,3543000.00,-637500.00,186817.86,-13994.86
5/16/20,3044000.00,-499000.00,163454.57,-23363.29
5/23/20,2608000.00,-436000.00,158534.14,-4920.43
5/30/20,2288250.00,-319750.00,148848.14,-9686.00
6/6/20,2008000.00,-280250.00,146642.00,-2206.14
6/13/20,1781500.00,-226500.00,144112.57,-2529.43
6/20/20,1621250.00,-160250.00,162460.43,18347.86
6/27/20,1499000.00,-122250.00,220274.71,57814.29
7/4/20,1435000.00,-64000.00,302537.86,82263.14
7/11/20,1377000.00,-58000.00,368507.72,65969.86
7/18/20,1362000.00,-15000.00,443690.00,75182.29
7/25/20,1368750.00,6750.00,465456.00,21766.00
8/1/20,1339000.00,-29750.00,452925.14,-12530.86
8/8/20,1254750.00,-84250.00,400709.71,-52215.43
8/15/20,1175250.00,-79500.00,369854.43,-30855.29
8/22/20,1069250.00,-106000.00,331267.57,-38586.86
8/29/20,992500.00,-76750.00,294984.43,-36283.14
9/5/20,973000.00,-19500.00,291697.00,-3287.43
9/12/20,913500.00,-59500.00,257425.29,-34271.71
9/19/20,879000.00,-34500.00,267884.00,10458.71
9/26/20,870250.00,-8750.00,301989.86,34105.86
10/3/20,838750.00,-31500.00,294551.86,-7438.00
10/10/20,832750.00,-6000.00,319442.71,24890.86
10/17/20,813750.00,-19000.00,367180.29,47737.57
10/24/20,758000.00,-55750.00,434460.86,67280.57
10/31/20,757000.00,-1000.00,523460.71,88999.86
11/7/20,711000.00,-46000.00,666230.00,142769.28
11/14/20,748000.00,37000.00,901204.00,234974.00
11/21/20,750750.00,2750.00,1125105.14,223901.14
11/28/20,740500.00,-10250.00,1186813.86,61708.71
12/5/20,778250.00,37750.00,1204064.43,17250.57
12/12/20,814250.00,36000.00,1456061.86,251997.43
12/19/20,819000.00,4750.00,1515574.86,59513.00
12/26/20,835500.00,16500.00,1661809.43,146234.57
1/2/21,818000.00,-17500.00,1322965.71,-338843.72
1/9/21,824750.00,6750.00,1598466.14,275500.43
1/16/21,842000.00,17250.00,1680875.86,82409.71
1/23/21,849500.00,7500.00,1363733.14,-317142.71
1/30/21,856500.00,7000.00,1133526.72,-230206.43
2/6/21,836750.00,-19750.00,949625.14,-183901.57
2/13/21,826500.00,-10250.00,733099.86,-216525.29
2/20/21,823500,-22250.00,544004,-189096
2/27/21,804500,-19000.00,477535,-66469
3/6/21,772250,-32250.00,452420,-25115
3/13/21,751750,-20500.00,395381,-57039
3/20/21,729500,-22250.00,383314,-12067
